dateTime,foods-log-caloriesIn,foods-log-water,activities-calories,activities-caloriesBMR,activities-steps,Activities-distance,activities-floors,activities-elevation,activities-minutesSedentary,activities-minutesLightlyActive,activities-minutesFairlyActive,activities-minutesVeryActive,total giornata,sleep-startTime,sleep-timeInBed,sleep-minutesAsleep,sleep-awakeningsCount,sleep-minutesAwake,sleep-minutesToFallAsleep,sleep-minutesAfterWakeup,sleep-efficiency,body-weight,body-bmi,body-fat
2015-04-20,0,0.0,1811,1778,1556,1,0,0,1414,26,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-04-21,0,0.0,1971,1778,7294,5,0,0,897,96,0,0,993,00:33,447,447,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-22,0,0.0,1784,1778,262,0,0,0,933,4,0,0,937,01:15,503,503,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-23,0,0.0,1878,1778,4233,3,0,0,950,63,0,0,1013,01:00,427,427,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-24,0,0.0,2054,1778,11053,8,0,0,831,151,0,0,982,01:08,458,458,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-25,0,0.0,2065,1778,11042,8,0,0,881,141,0,0,1022,02:11,418,418,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-26,0,0.0,1985,1778,7555,6,0,0,1340,100,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-04-27,0,0.0,1901,1778,4905,4,0,0,903,72,0,0,975,01:00,465,465,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-28,0,0.0,1919,1778,5982,4,0,0,883,92,0,0,975,00:00,465,465,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-29,0,0.0,2003,1778,7927,6,0,0,863,109,0,0,972,01:01,468,468,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-04-30,0,0.0,1991,1778,8217,6,0,0,837,105,0,0,942,00:30,498,498,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-01,0,0.0,2273,1778,19157,14,0,0,677,249,0,0,926,01:19,514,514,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-02,0,0.0,1902,1778,5203,4,0,0,1362,78,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-05-03,0,0.0,1994,1778,8349,6,0,0,841,112,0,0,953,01:00,487,487,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-04,0,0.0,1953,1778,6390,5,0,0,893,84,0,0,977,00:59,463,463,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-05,0,0.0,1880,1778,4620,3,0,0,920,78,0,0,998,00:50,442,442,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-06,0,0.0,1958,1778,7553,6,0,0,867,113,0,0,980,01:11,460,460,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-07,0,0.0,1896,1778,5379,4,0,0,920,89,0,0,1009,01:34,431,431,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-08,0,0.0,1971,1778,7779,6,0,0,877,113,0,0,990,01:19,450,450,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-09,0,0.0,2009,1778,9679,7,0,0,892,141,0,0,1033,01:33,407,407,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-10,0,0.0,1923,1778,6001,4,0,0,902,100,0,0,1002,01:47,438,438,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-11,0,0.0,1962,1778,7411,5,0,0,852,105,0,0,957,00:49,483,483,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-12,0,0.0,1946,1778,7495,6,0,0,873,121,0,0,994,00:21,446,446,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-13,0,0.0,1913,1778,5714,4,0,0,887,87,0,0,974,01:01,466,466,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-14,0,0.0,2021,1778,8971,7,0,0,910,119,0,0,1029,01:58,411,411,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-15,0,0.0,2073,1778,11034,8,0,0,857,143,0,0,1000,01:28,440,440,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-16,0,0.0,2100,1778,12636,9,0,0,898,173,0,0,1071,01:52,369,369,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-17,0,0.0,1963,1778,7351,5,0,0,1336,104,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-05-18,0,0.0,2061,1778,11303,8,0,0,860,152,0,0,1012,01:35,428,428,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-19,0,0.0,1939,1778,6647,5,0,0,782,104,0,0,886,00:39,435,435,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-20,0,0.0,2106,1778,12799,9,0,0,739,174,0,0,913,22:01,646,646,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-21,0,0.0,1919,1778,6164,5,0,0,1343,97,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-05-22,0,0.0,1941,1778,6264,5,0,0,849,90,0,0,939,00:58,469,469,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-23,0,0.0,1821,1778,2042,2,0,0,782,36,0,0,818,23:28,654,654,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-24,0,0.0,2216,1778,16627,12,0,0,756,220,0,0,976,01:30,464,464,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-25,0,0.0,2012,1778,9730,7,0,0,1297,143,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-05-26,0,0.0,1968,1778,7589,6,0,0,912,117,0,0,1029,01:57,411,411,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-27,0,0.0,1907,1778,5344,4,0,0,964,78,0,0,1042,01:39,398,398,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-28,0,0.0,1864,1778,3709,3,0,0,1143,57,0,0,1200,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-05-29,0,0.0,1960,1778,8373,6,0,0,776,136,0,0,912,20:00,768,768,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-30,0,0.0,1979,1778,7381,5,0,0,890,101,0,0,991,01:18,449,449,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-05-31,0,0.0,1998,1778,8454,6,0,0,842,117,0,0,959,01:55,481,481,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-01,0,0.0,1911,1778,5510,4,0,0,893,79,0,0,972,00:57,468,468,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-02,0,0.0,1981,1778,7338,5,0,0,1341,99,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-03,0,0.0,1929,1778,6824,5,0,0,879,112,0,0,991,01:17,449,449,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-04,0,0.0,1937,1778,6953,5,0,0,870,110,0,0,980,01:04,460,460,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-05,0,0.0,2015,1778,9891,7,0,0,1291,149,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-06,0,0.0,1983,1778,8921,7,0,0,797,137,0,0,934,00:18,506,506,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-07,0,0.0,1892,1778,4997,4,0,0,1362,78,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-08,0,0.0,1909,1778,5427,4,0,0,872,83,0,0,955,00:44,485,485,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-09,0,0.0,2041,1778,10144,7,0,0,883,137,0,0,1020,01:41,420,420,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-10,0,0.0,2027,1778,9800,7,0,0,911,133,0,0,1044,03:27,396,396,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-11,0,0.0,1892,1778,4771,4,0,0,1167,72,0,0,1239,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-12,0,0.0,1880,1778,4763,4,0,0,775,82,0,0,857,20:39,784,784,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-13,0,0.0,1881,1778,4315,3,0,0,1370,70,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-14,0,0.0,1878,1778,4133,3,0,0,1375,65,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-15,0,0.0,2092,1778,7385,5,0,0,917,0,85,0,1002,00:46,438,438,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-16,0,0.0,1887,1778,4537,3,0,0,905,73,0,0,978,00:44,462,462,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-17,0,0.0,1886,1778,3992,3,0,0,917,54,0,0,971,00:34,469,469,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-18,0,0.0,1932,1778,5878,4,0,0,896,86,0,0,982,00:53,458,458,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-19,0,0.0,1862,1778,4078,3,0,0,982,73,0,0,1055,01:27,385,385,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-20,0,0.0,2103,1778,13385,10,0,0,1251,189,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-21,0,0.0,1886,1778,4748,4,0,0,1366,74,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-22,0,0.0,1933,1778,6487,5,0,0,859,104,0,0,963,00:49,477,477,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-23,0,0.0,1863,1778,3896,3,0,0,921,66,0,0,987,00:31,453,453,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-24,0,0.0,1894,1778,4628,3,0,0,1368,72,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-25,0,0.0,1945,1778,6532,5,0,0,902,93,0,0,995,01:20,445,445,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-26,0,0.0,2032,1778,9934,7,0,0,887,140,0,0,1027,01:24,413,413,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-27,0,0.0,1940,1778,6147,5,0,0,1359,81,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-06-28,0,0.0,2022,1778,9552,7,0,0,765,131,0,0,896,01:47,544,544,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-29,0,0.0,1957,1778,6967,5,0,0,901,101,0,0,1002,01:27,438,438,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-06-30,0,0.0,2051,1778,7295,5,0,0,919,91,0,0,1010,01:18,430,430,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-01,0,0.0,2076,1778,11979,9,0,0,728,166,0,0,894,00:39,546,546,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-02,0,0.0,1880,1778,4291,3,0,0,1376,64,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-03,0,0.0,2392,1778,24214,18,0,0,754,320,0,0,1074,00:55,366,366,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-04,0,0.0,1784,1778,513,0,0,0,1440,0,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-05,0,0.0,1944,1778,6859,5,0,0,825,101,0,0,926,01:35,514,514,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-06,0,0.0,2020,1778,8361,6,0,0,992,115,0,0,1107,02:59,333,333,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-07,0,0.0,1973,1778,7647,6,0,0,1338,102,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-08,0,0.0,1987,1778,8284,6,0,0,1327,113,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-09,0,0.0,1958,1778,7293,5,0,0,839,107,0,0,946,01:21,494,494,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-10,0,0.0,1942,1778,7367,5,0,0,1319,121,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-11,0,0.0,2002,1778,9102,7,0,0,901,135,0,0,1036,01:16,404,404,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-12,0,0.0,1869,1778,4308,3,0,0,1035,74,0,0,1109,03:54,331,331,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-13,0,0.0,1857,1778,3636,2,0,0,1066,62,0,0,1128,04:00,312,312,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-14,0,0.0,1956,1778,7612,6,0,0,1013,117,0,0,1130,05:45,310,310,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-15,0,0.0,2161,1778,14600,11,0,0,824,203,0,0,1027,03:37,413,413,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-16,0,0.0,2142,1778,13700,10,0,0,1082,178,0,0,1260,05:36,180,180,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-17,0,0.0,2357,1778,22199,16,0,0,1142,298,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-18,0,0.0,1828,1778,1919,1,0,0,1415,25,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-19,0,0.0,1776,1778,38,0,0,0,1440,0,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-20,0,0.0,1947,1778,6731,5,0,0,1346,94,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-21,0,0.0,2005,1778,8833,7,0,0,773,123,0,0,896,00:42,544,544,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-22,0,0.0,1984,1778,8311,6,0,0,886,117,0,0,1003,03:26,437,437,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-23,0,0.0,2114,1778,13074,10,0,0,876,171,0,0,1047,02:22,393,393,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-24,0,0.0,1908,1778,5660,4,0,0,1344,96,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-25,0,0.0,2140,1778,14551,11,0,0,859,200,0,0,1059,01:36,381,381,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-26,0,0.0,2093,1778,13044,10,0,0,1026,187,0,0,1213,05:25,227,227,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-27,0,0.0,2121,1778,14378,11,0,0,922,208,0,0,1130,04:26,310,310,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-28,0,0.0,2091,1778,13037,10,0,0,993,190,0,0,1183,05:30,257,257,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-29,0,0.0,2049,1778,11173,8,0,0,909,159,0,0,1068,02:39,372,372,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-07-30,0,0.0,2074,1778,12061,9,0,0,1270,170,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-07-31,0,0.0,2091,1778,12603,9,0,0,1265,175,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-01,0,0.0,1978,1778,7988,6,0,0,756,119,0,0,875,01:13,565,565,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-02,0,0.0,2177,1778,16579,12,0,0,768,231,0,0,999,01:04,441,441,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-03,0,0.0,2012,1778,8613,6,0,0,773,109,0,0,882,00:29,558,558,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-04,0,0.0,2022,1778,10213,8,0,0,833,141,0,0,974,01:15,466,466,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-05,0,0.0,1886,1778,4559,3,0,0,959,70,0,0,1029,03:28,411,411,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-06,0,0.0,2015,1778,10025,7,0,0,735,143,0,0,878,03:08,562,562,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-07,0,0.0,2494,1778,26965,20,0,0,849,304,0,0,1153,06:10,287,287,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-08,0,0.0,2284,1778,20441,15,0,0,802,255,0,0,1057,05:04,383,383,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-09,0,0.0,2024,1778,8920,7,0,0,756,103,0,0,859,05:31,581,581,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-10,0,0.0,2007,1778,6828,5,0,0,883,0,64,0,947,06:39,493,493,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-11,0,0.0,2232,1778,15556,11,0,0,1282,158,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-12,0,0.0,1992,1778,7090,5,0,0,1367,73,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-13,0,0.0,2068,1778,9336,7,0,0,1350,0,90,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-14,0,0.0,2571,1778,28164,21,0,0,1014,292,0,0,1306,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-15,0,0.0,2226,1778,14386,11,0,0,989,149,0,0,1138,21:46,231,231,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-16,0,0.0,2010,1778,7347,5,0,0,1148,0,75,0,1223,20:35,343,343,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-17,0,0.0,1961,1778,6729,5,0,0,879,80,0,0,959,22:41,366,366,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-18,0,0.0,2007,1778,8068,6,0,0,1306,84,0,0,1390,20:01,50,50,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-19,0,0.0,1776,1778,38,0,0,0,1371,0,0,0,1371,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-20,0,0.0,2283,1778,19429,14,0,0,553,234,0,0,787,22:51,545,545,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-21,0,0.0,2441,1778,23935,18,0,0,1021,256,0,0,1277,20:26,163,163,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-22,0,0.0,2307,1778,19408,14,0,0,1226,214,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-23,0,0.0,1995,1778,8414,6,0,0,855,103,0,0,958,00:01,482,482,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-24,0,0.0,1847,1778,2797,2,0,0,1404,36,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-25,0,0.0,1809,1778,1336,1,0,0,1400,20,0,0,1420,21:01,20,20,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-26,0,0.0,1777,1778,12,0,0,0,1420,0,0,0,1420,21:01,20,20,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-27,0,0.0,1788,1778,499,0,0,0,1433,7,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-28,0,0.0,1777,1778,12,0,0,0,1440,0,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-08-29,0,0.0,1775,1778,68,0,0,0,1400,0,0,0,1400,21:21,40,40,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-30,0,0.0,1777,1778,11,0,0,0,1294,0,0,0,1294,18:12,146,146,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-08-31,0,0.0,1765,1778,,0,0,0,1306,0,0,0,1306,11:20,134,134,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-01,0,0.0,1765,1778,,0,0,0,1380,0,0,0,1380,21:01,60,60,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-02,0,0.0,1765,1778,,0,0,0,1390,0,0,0,1390,21:01,50,50,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-03,0,0.0,1765,1778,,0,0,0,1440,0,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-04,0,0.0,1765,1778,,0,0,0,1440,0,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-05,0,0.0,1777,1778,12,0,0,0,1440,0,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-06,0,0.0,1777,1778,19,0,0,0,1440,0,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-07,0,0.0,1765,1778,,0,0,0,1400,0,0,0,1400,14:01,40,40,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-08,0,0.0,1765,1778,,0,0,0,1331,0,0,0,1331,14:01,109,109,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-09,0,0.0,1765,1778,,0,0,0,1378,0,0,0,1378,21:01,62,62,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-10,0,0.0,1765,1778,,0,0,0,1337,0,0,0,1337,11:49,103,103,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-11,0,0.0,1777,1778,10,0,0,0,1390,0,0,0,1390,21:01,50,50,0,0,0,0,100,75.0,23.671255111694336,18.5
2015-09-12,0,0.0,1765,1778,,0,0,0,1440,0,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-13,0,0.0,1765,1778,,0,0,0,1440,0,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-14,0,0.0,1765,1778,,0,0,0,1440,0,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-15,0,0.0,1765,1778,,0,0,0,1440,0,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-16,0,0.0,1765,1778,,0,0,0,1440,0,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-17,0,0.0,1765,1778,,0,0,0,1440,0,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-18,0,0.0,1765,1778,,0,0,0,1440,0,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-19,0,0.0,1765,1778,,0,0,0,1440,0,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
2015-09-20,0,0.0,1765,1778,,0,0,0,1440,0,0,0,1440,,0,0,0,0,0,0,0,75.0,23.671255111694336,18.5
